student_id,problem,file,compile,status,passed,total,score_pct,failed_tests,error,changes,repair_level,severity,optimal,optimal_note
65685,guess_number,65685.py,ok,graded,7,7,100,,,[syntax-only] Removed stray bracket at EOF,lightweight,,True,
67309,guess_number,67309.py,ok,graded,0,7,0,basic; single; pick_low; pick_high; large; mid_range; pick_is_n,,[syntax-only] Converted // comments to #; [syntax-only] Converted // comments to #; [syntax-only] Lowered keyword 'While'; [syntax-only] Extracted function block from noisy file; [ambiguous] Conservative re-indent: normalized indent levels to 4-space tiers; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def guessNumber(n): return 0`,aggressive,Critical Error,True,
68931,guess_number,68931.py,ok,graded,0,7,0,basic; single; pick_low; pick_high; large; mid_range; pick_is_n,,[syntax-only] Fixed --> to ->; [syntax-only] Lowered keyword 'While'; [syntax-only] Fixed typo -> 'True'; [logic-affecting] Replaced unparseable code with stub `def guessNumber(n): return 0`,aggressive,Critical Error,True,
69954,guess_number,69954.py,ok,graded,0,7,0,basic; single; pick_low; pick_high; large; mid_range; pick_is_n,,,lightweight,Critical Error,True,
70374,guess_number,70374.py,ok,graded,7,7,100,,,,lightweight,,True,
70834,guess_number,70834.py,ok,graded,0,7,0,basic; single; pick_low; pick_high; large; mid_range; pick_is_n,,[ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def guessNumber(n): return 0`,aggressive,Critical Error,True,
73721,guess_number,73721.py,ok,graded,7,7,100,,,[syntax-only] Fixed --> to ->; [syntax-only] Extracted function block from noisy file,lightweight,,True,
75854,guess_number,75854.py,ok,graded,7,7,100,,,,lightweight,,True,
75927,guess_number,75927.py,ok,graded,7,7,100,,,,lightweight,,True,
75939,guess_number,75939.java,ok,graded,0,7,0,basic; single; pick_low; pick_high; large; mid_range; pick_is_n,,[syntax-only] Mechanical Java->Python transpile; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers,aggressive,Critical Error,True,
77691,guess_number,77691.py,ok,graded,7,7,100,,,[syntax-only] Removed trailing triple-quote,lightweight,,True,
78627,guess_number,78627.py,ok,graded,0,7,0,basic; single; pick_low; pick_high; large; mid_range; pick_is_n,,[ambiguous] Conservative re-indent: normalized indent levels to 4-space tiers; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def guessNumber(n): return 0`,aggressive,Critical Error,True,
78939,guess_number,78939.py,ok,graded,7,7,100,,,,lightweight,,True,
79336,guess_number,79336.java,ok,graded,0,7,0,basic; single; pick_low; pick_high; large; mid_range; pick_is_n,,[syntax-only] Mechanical Java->Python transpile; [syntax-only] Fixed typo -> 'True'; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def guessNumber(n): return 0`,aggressive,Critical Error,True,
79862,guess_number,79862.py,ok,graded,7,7,100,,,[syntax-only] Removed trailing semicolons; [syntax-only] Removed stray bracket at EOF; [syntax-only] Added missing colons,lightweight,,True,
56934,longest_substring,56934.py,ok,graded,1,8,12,example1; all_same; example3; single_char; all_unique; spaces; end_longest,,[syntax-only] Replaced || with or; [syntax-only] Added missing colons; [syntax-only] Removed C-style braces; [syntax-only] Extracted function block from noisy file; [syntax-only] Appended 1 missing closing bracket(s); [ambiguous] Conservative re-indent: normalized indent levels to 4-space tiers; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def lengthOfLongestSubstring(s): return 0`,aggressive,Critical Error,True,
65542,longest_substring,65542.py,ok,graded,1,8,12,example1; all_same; example3; single_char; all_unique; spaces; end_longest,,,lightweight,Critical Error,True,
66500,longest_substring,66500.py,ok,graded,1,8,12,example1; all_same; example3; single_char; all_unique; spaces; end_longest,,[syntax-only] Extracted function block from noisy file; [ambiguous] Conservative re-indent: normalized indent levels to 4-space tiers; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def lengthOfLongestSubstring(s): return 0`,aggressive,Critical Error,True,
67138,longest_substring,67138.py,ok,graded,8,8,100,,,[syntax-only] Lowered keyword 'If'; [syntax-only] Replaced em/en dashes with hyphens; [syntax-only] Added missing colons,lightweight,,True,
67581,longest_substring,67581.py,ok,graded,1,8,12,example1; all_same; example3; single_char; all_unique; spaces; end_longest,,,lightweight,Critical Error,True,
67634,longest_substring,67634.py,ok,graded,8,8,100,,,,lightweight,,True,
67686,longest_substring,67686.py,ok,graded,8,8,100,,,,lightweight,,True,
68358,longest_substring,68358.py,ok,graded,8,8,100,,,,lightweight,,True,
68530,longest_substring,68530.py,ok,graded,8,8,100,,,,lightweight,,True,
69296,longest_substring,69296.py,ok,graded,8,8,100,,,,lightweight,,True,
69558,longest_substring,69558.java,ok,graded,1,8,12,example1; all_same; example3; single_char; all_unique; spaces; end_longest,,[syntax-only] Mechanical Java->Python transpile; [syntax-only] Replaced || with or; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Inserted `pass` into empty block at line 1; [logic-affecting] Replaced unparseable code with stub `def lengthOfLongestSubstring(s): return 0`,aggressive,Critical Error,True,
70971,longest_substring,70971.py,ok,graded,1,8,12,example1; all_same; example3; single_char; all_unique; spaces; end_longest,,[syntax-only] Added missing colons; [syntax-only] Appended 1 missing closing bracket(s); [ambiguous] Conservative re-indent: normalized indent levels to 4-space tiers; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def lengthOfLongestSubstring(s): return 0`,aggressive,Critical Error,True,
74510,longest_substring,74510.java,ok,graded,1,8,12,example1; all_same; example3; single_char; all_unique; spaces; end_longest,,[syntax-only] Mechanical Java->Python transpile; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def lengthOfLongestSubstring(s): return 0`,aggressive,Critical Error,True,
75295,longest_substring,75295.py,ok,graded,7,8,88,example1,,,lightweight,Minor Error,False,Nested loops instead of sliding window
78797,longest_substring,78797.java,ok,graded,1,8,12,example1; all_same; example3; single_char; all_unique; spaces; end_longest,,[syntax-only] Mechanical Java->Python transpile; [ambiguous] Aggressive re-indent: rebuilt block structure from control-flow headers; [logic-affecting] Replaced unparseable code with stub `def lengthOfLongestSubstring(s): return 0`,aggressive,Critical Error,True,
79105,longest_substring,79105.py,ok,graded,6,8,75,example3; spaces,,[syntax-only] Replaced Unicode line separator,lightweight,Minor Error,True,
79860,longest_substring,79860.py,ok,graded,1,8,12,example1; all_same; example3; single_char; all_unique; spaces; end_longest,,,lightweight,Critical Error,True,
66281,contains_nearby_duplicate,66281.py,ok,graded,8,8,100,,,,lightweight,,True,
